Date,Total_Produced,Underweight,Overweight,Deformed,Burnt,Pale,Slicing_Defect,Poor_Seed_Coverage,Surface_Blisters,Foreign_Material,Packaging_Defect,Total_Rejected
12/11/2025,50000,47,34,70,42,47,52,17,49,1,94,453
12/12/2025,50000,49,25,82,42,36,64,14,45,2,115,474
12/13/2025,50000,62,24,75,35,37,61,24,43,4,96,461
12/14/2025,50000,59,27,75,44,49,49,24,56,2,85,470
12/15/2025,50000,53,30,73,45,29,68,20,60,0,91,469
12/16/2025,50000,48,22,99,40,57,60,17,52,0,93,488
12/17/2025,50000,44,25,87,44,42,61,25,43,2,100,473
12/18/2025,50000,53,33,97,37,51,54,25,51,0,104,505
12/19/2025,50000,47,35,65,50,43,51,23,44,1,108,467
12/20/2025,50000,58,31,76,38,42,60,20,55,0,104,484
12/21/2025,50000,62,29,74,48,33,75,21,41,4,94,481
12/22/2025,50000,62,30,84,37,30,61,21,47,2,104,478
12/23/2025,50000,34,31,80,46,39,69,19,42,3,102,465
12/24/2025,50000,48,28,59,48,39,60,15,48,1,96,442
12/25/2025,50000,50,33,63,53,38,59,29,43,0,105,473
12/26/2025,50000,46,26,85,49,46,52,19,56,5,115,499
12/27/2025,50000,58,38,66,41,39,56,24,50,3,86,461
12/28/2025,50000,56,22,85,47,29,57,24,38,3,100,461
12/29/2025,50000,49,22,84,41,38,70,32,72,3,101,512
12/30/2025,50000,50,33,83,50,36,71,22,43,2,106,496
12/31/2025,50000,46,33,94,54,42,42,18,52,4,93,478
1/1/2026,50000,59,31,73,42,43,57,22,56,4,87,474
1/2/2026,50000,56,33,69,37,38,72,20,48,2,118,493
1/3/2026,50000,45,27,73,32,32,63,18,49,1,75,415
1/4/2026,50000,45,21,79,37,44,67,28,45,2,96,464
1/5/2026,50000,52,29,56,40,31,61,17,43,0,114,443
1/6/2026,50000,54,30,81,45,32,57,21,44,1,89,454
1/7/2026,50000,45,38,81,38,48,54,21,45,1,98,469
1/8/2026,50000,44,32,82,40,26,50,25,54,2,95,450
1/9/2026,50000,40,41,63,41,32,52,15,53,2,110,449
1/10/2026,50000,47,27,80,50,41,63,29,46,5,94,482
1/11/2026,50000,55,31,92,47,47,58,14,55,3,95,497
1/12/2026,50000,61,28,99,42,42,61,28,42,5,111,519
1/13/2026,50000,62,30,77,37,38,73,18,49,1,89,474
1/14/2026,50000,48,28,83,43,56,58,21,55,2,102,496
1/15/2026,50000,56,30,77,32,38,63,23,44,0,85,448
1/16/2026,50000,42,25,73,38,34,72,12,52,3,96,447
1/17/2026,50000,45,28,78,32,40,67,20,45,3,93,451
1/18/2026,50000,62,31,81,47,42,64,27,47,0,89,490
1/19/2026,50000,38,26,74,44,41,65,21,50,2,82,443
1/20/2026,50000,50,29,89,44,42,48,19,51,5,100,477
1/21/2026,50000,63,31,79,47,47,62,14,54,1,94,492
1/22/2026,50000,57,32,83,40,37,58,19,55,0,96,477
1/23/2026,50000,46,16,77,46,38,76,21,65,2,89,476
